date,value
2016-05-09,2882
2016-05-10,2200
2016-05-11,2489
2016-05-12,3120
2016-05-13,2933
2016-05-14,1511
2016-05-15,2475
2016-05-16,1924
2016-05-17,1948
2016-05-18,2205
2016-05-19,2072
2016-05-20,2727
2016-05-21,2380
2016-05-22,2060
2016-05-23,2221
2016-05-24,2166
2016-05-25,2747
2016-05-26,1897
2016-05-27,2156
2016-05-28,1572
2016-05-29,723
2016-05-30,2326
2016-05-31,2432
2016-06-01,1628
2016-06-02,3134
2016-06-03,1272
2016-06-04,2022
2016-06-05,1906
2016-06-06,2766
2016-06-07,2734
2016-06-08,2077
2016-06-09,2189
2016-06-10,1556
2016-06-11,1009
2016-06-12,1826
2016-06-13,2078
2016-06-14,2615
2016-06-15,2601
2016-06-16,1806
2016-06-17,1848
2016-06-18,1475
2016-06-19,1289
2016-06-20,1146
2016-06-21,2975
2016-06-22,1745
2016-06-23,1780
2016-06-24,1373
2016-06-25,2388
2016-06-26,1193
2016-06-27,1893
2016-06-28,1552
2016-06-29,2193
2016-06-30,1744
2016-07-01,1409
2016-07-02,1985
2016-07-03,2214
2016-07-04,2033
2016-07-05,2151
2016-07-06,1682
2016-07-07,1818
2016-07-08,1663
2016-07-09,1820
2016-07-10,1593
2016-07-11,1136
2016-07-12,2088
2016-07-13,1799
2016-07-14,1184
2016-07-15,2231
2016-07-16,1546
2016-07-17,2025
2016-07-18,2364
2016-07-19,2064
2016-07-20,2569
2016-07-21,1382
2016-07-22,2201
2016-07-23,1657
2016-07-24,1564
2016-07-25,1710
2016-07-26,1844
2016-07-27,2028
2016-07-28,1417
2016-07-29,2450
2016-07-30,2232
2016-07-31,1231
2016-08-01,2744
2016-08-02,2947
2016-08-03,2589
2016-08-04,1910
2016-08-05,1464
2016-08-06,2527
2016-08-07,1798
2016-08-08,2611
2016-08-09,2104
2016-08-10,2488
2016-08-11,2178
2016-08-12,2353
2016-08-13,2005
2016-08-14,2892
2016-08-15,2063
2016-08-16,2200
2016-08-17,2941
2016-08-18,1326
2016-08-19,1364
2016-08-20,2484
2016-08-21,1413
2016-08-22,2971
2016-08-23,1793
2016-08-24,1626
2016-08-25,2961
2016-08-26,2740
2016-08-27,2933
2016-08-28,2453
2016-08-29,1569
2016-08-30,2955
2016-08-31,1865
2016-09-01,2401
2016-09-02,2473
2016-09-03,1922
2016-09-04,2307
2016-09-05,2461
2016-09-06,2188
2016-09-07,1450
2016-09-08,2149
2016-09-09,2663
2016-09-10,1652
2016-09-11,1925
2016-09-12,1782
2016-09-13,2924
2016-09-14,2336
2016-09-15,2203
2016-09-16,1615
2016-09-17,2269
2016-09-18,1662
2016-09-19,2015
2016-09-20,1682
2016-09-21,2338
2016-09-22,2288
2016-09-23,1895
2016-09-24,2198
2016-09-25,1453
2016-09-26,1254
2016-09-27,2219
2016-09-28,2083
2016-09-29,2317
2016-09-30,3191
2016-10-01,2472
2016-10-02,1543
2016-10-03,2558
2016-10-04,1342
2016-10-05,1769
2016-10-06,1965
2016-10-07,2856
2016-10-08,1627
2016-10-09,1586
2016-10-10,1950
2016-10-11,1668
2016-10-12,2563
2016-10-13,1460
2016-10-14,1426
2016-10-15,1781
2016-10-16,1750
2016-10-17,2964
2016-10-18,2474
2016-10-19,2043
2016-10-20,1387
2016-10-21,2422
2016-10-22,1499
2016-10-23,1227
2016-10-24,2594
2016-10-25,2158
2016-10-26,2460
2016-10-27,2159
2016-10-28,2428
2016-10-29,1674
2016-10-30,1482
2016-10-31,2340
2016-11-01,1598
2016-11-02,1655
2016-11-03,1772
2016-11-04,2008
2016-11-05,1823
2016-11-06,1312
2016-11-07,1678
2016-11-08,888
2016-11-09,2312
2016-11-10,1198
2016-11-11,1447
2016-11-12,2026
2016-11-13,1630
2016-11-14,2771
2016-11-15,1353
2016-11-16,2133
2016-11-17,1980
2016-11-18,1415
2016-11-19,2261
2016-11-20,1914
2016-11-21,2385
2016-11-22,2411
2016-11-23,3081
2016-11-24,2668
2016-11-25,1815
2016-11-26,1880
2016-11-27,2549
2016-11-28,2327
2016-11-29,2320
2016-11-30,1191
2016-12-01,1987
2016-12-02,1630
2016-12-03,2139
2016-12-04,1950
2016-12-05,2455
2016-12-06,2158
2016-12-07,2393
2016-12-08,1766
2016-12-09,1527
2016-12-10,1794
2016-12-11,1991
2016-12-12,2189
2016-12-13,3129
2016-12-14,1978
2016-12-15,1522
2016-12-16,1827
2016-12-17,1768
2016-12-18,2240
2016-12-19,1229
2016-12-20,2031
2016-12-21,2078
2016-12-22,2116
2016-12-23,1701
2016-12-24,1881
2016-12-25,1287
2016-12-26,1753
2016-12-27,1728
2016-12-28,2208
2016-12-29,1421
2016-12-30,2390
2016-12-31,2747
2017-01-01,965
2017-01-02,2213
2017-01-03,2338
2017-01-04,1681
2017-01-05,1801
2017-01-06,1933
2017-01-07,1851
2017-01-08,1845
2017-01-09,1161
2017-01-10,2576
2017-01-11,2539
2017-01-12,1593
2017-01-13,1266
2017-01-14,2260
2017-01-15,1712
2017-01-16,2070
2017-01-17,1840
2017-01-18,2345
2017-01-19,2347
2017-01-20,1637
2017-01-21,1308
2017-01-22,1208
